iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 253236.875 -7.252785460454727051e-01 -5.809174175826121722e-01 3.019600806508140334e-01 -3.684858471969676419e-01 -2.456798104835939967e-01 -3.584843815304741277e-01 9.584629383696796623e-01 4.934334033655705110e-01 -4.959232060334222147e-01 8.161367038162716803e-01 -6.494759692763403258e-01 1.531517078596245085e-02 5.676245616637063396e-01 6.882688688714955205e-02 -9.713277922757512783e-01 2.182053175546929680e-01 -6.843103177413323301e-01 2.972369896967155256e-01 8.776592625087966670e-01 -2.685246307185717995e-01 4.488468848715949644e-01 -3.931132959470311494e-01 -5.205479247033562018e-01 -3.859731156738095414e-01 -6.054108494062901968e-01 9.351383904753594045e-01 -6.031863161543300489e-01 8.118973929271122714e-02 -3.756454946622012070e-01 -3.928581298849826986e-01 -6.473773379637608461e-01 2.804447791219624175e-01 -3.771826042083528119e-01 -8.525224087525058447e-01 7.905802143397311355e-01 -3.217779709878525463e-01 -8.214990390724097313e-01 4.723302894839276345e-01 6.154134391508583324e-01 9.581096863958145082e-01 -1.050501069450207048e-01 -8.663387159865543197e-01 7.710427383564566473e-01 7.051090303741649468e-01 2.044847536740723726e-03 5.583270879017538935e-01 7.381092919686309539e-01 -1.969024115168016564e-01 1.240139813336487151e-01 6.646356768424059869e-01 -8.881151124631303517e-01 5.832420784061336239e-01 -7.066750252427518308e-01 -9.092504850224734092e-01 -4.144115197811237827e-01 8.589682327216117130e-01 -3.084944495901238426e-01 -1.153660338617907843e-01 5.042262630504221743e-01 5.085995877396964904e-01 -2.432534190477007030e-01 4.863154886153542300e-02 -3.034038292537746262e-01 6.391691272742106023e-02 5.126098211817979866e-01 -5.649807986958101935e-01 5.432918842710909857e-03 5.827212141934892120e-01 2.232207848026883656e-01 3.783721123168548583e-01 5.980587825686036751e-01 -1.623491754415749000e-01 7.080985254947085306e-01 1.600376086224204464e-01 -3.166838391005657449e-01 7.155100674775543013e-01 -2.246157228419038976e-01 -4.675141538944060926e-02 5.215374046584824175e-01 -5.555216671414244800e-01 9.121709405889115718e-01 -5.537898967625789481e-01 8.093286344412202737e-01 4.886956949000034189e-01 1.513103796586212635e-01 1.053487038747222826e-01 1.619681035121935953e-01 7.750478369549218538e-01 1.879347415451482206e-01 8.896025401139078248e-01 -8.619693085526520804e-01 -7.816951145356874076e-01 -3.958533855557566650e-01 -2.798874123104302392e-01 -2.349805482028086701e-01 -7.518725423623084936e-02 2.869605892737350228e-01 7.039476768462891165e-01 5.599894316456424104e-01 -9.008363758430979473e-01
1 237376.8125 -7.152785462689901230e-01 -5.909174173590947543e-01 3.119600804272966155e-01 -3.784858469734502240e-01 -2.356798097757888399e-01 -3.484843817539915456e-01 9.684629381461622444e-01 5.034334031420530930e-01 -4.859232062569396327e-01 8.061367040397890982e-01 -6.594759690528229079e-01 5.315171009479868758e-03 5.776245614401889217e-01 7.882688666363213414e-02 -9.813277920522338604e-01 2.082053168468878113e-01 -6.743103179648497481e-01 2.872369899202329435e-01 8.676592627323140849e-01 -2.585246309420892175e-01 4.388468841637898077e-01 -4.031132957235137315e-01 -5.305479244798387839e-01 -3.759731158973269594e-01 -6.154108491827727789e-01 9.251383906988768224e-01 -5.931863163778474668e-01 9.118974000051638384e-02 -3.656454948857186249e-01 -3.828581301085001165e-01 -6.573773386715660028e-01 2.904447788984449996e-01 -3.871826039848353940e-01 -8.625224085289884268e-01 8.005802141162137175e-01 -3.117779712113699642e-01 -8.114990392959271492e-01 4.823302892604102166e-01 6.254134389273409145e-01 9.481096866193319261e-01 -9.505010716853812269e-02 -8.563387162100717376e-01 7.610427376486514905e-01 7.151090301506475289e-01 -7.955152239741858367e-03 5.483270881252713114e-01 7.281092921921483718e-01 -1.869024117403190743e-01 1.340139820414538718e-01 6.546356770659234048e-01 -8.781151136179703443e-01 5.932420781826162060e-01 -7.166750250192344129e-01 -8.992504852459908271e-01 -4.244115195576063648e-01 8.489682320138065563e-01 -2.984944498136412605e-01 -1.253660336382733664e-01 5.142262628269047564e-01 5.185995884475016471e-01 -2.332534183398955463e-01 5.863154863801800509e-02 -3.134038280989346337e-01 7.391691250390364232e-02 5.026098214053154045e-01 -5.749807984722927756e-01 -4.567080933771672235e-03 5.727212144170066299e-01 2.332207845791709477e-01 3.883721120933374404e-01 5.880587827921210931e-01 -1.723491752180574821e-01 6.980985257182259485e-01 1.700376083989030285e-01 -3.266838388770483270e-01 7.055100677010717192e-01 -2.146157221340987409e-01 -3.675141561295802717e-02 5.315374044349649996e-01 -5.655216669179070621e-01 9.221709403653941539e-01 -5.637898974703841048e-01 7.993286346647376917e-01 4.986956946764860010e-01 1.413103798821386814e-01 1.153487036512048647e-01 1.519681037357110132e-01 7.850478367314044359e-01 1.979347413216308027e-01 8.796025403374252427e-01 -8.519693087761694983e-01 -7.716951147592048255e-01 -4.058533862635618217e-01 -2.898874120869128213e-01 -2.249805484263260880e-01 -6.518725539107084188e-02 2.769605894972524407e-01 6.939476770698065344e-01 5.699894314221249925e-01 -9.108363756195805294e-01
2 222341.421875 -7.052757497308159707e-01 -6.008669403833557521e-01 3.219516684982852706e-01 -3.884990147198152943e-01 -2.256724255426121317e-01 -3.385134215467080487e-01 9.784611665471079078e-01 5.134468614610614434e-01 -4.759344056344168017e-01 7.961432002382644590e-01 -6.694872350384906134e-01 -4.382965700150620592e-03 5.723703426197064292e-01 8.866973786284182424e-02 -9.912720223703033184e-01 1.982025082015201889e-01 -6.643028936848023314e-01 2.772462893996578970e-01 8.576651656783094158e-01 -2.485347630238958772e-01 4.303721048484969725e-01 -4.129939446494141908e-01 -5.405006084129180266e-01 -3.659973351643972528e-01 -6.253997448001982207e-01 9.151256252838639860e-01 -5.831863529229452947e-01 1.011987736059727361e-01 -3.556401986777542046e-01 -3.728720452226048643e-01 -6.673533811061391763e-01 3.004554814339550628e-01 -3.971421694604184705e-01 -8.725234457988191306e-01 8.105723730879406119e-01 -3.021067385482749668e-01 -8.014953663832102837e-01 4.921397702404488594e-01 6.354146084449772136e-01 9.383640245187188089e-01 -8.504032571105435423e-02 -8.463251377504512618e-01 7.510320211433028081e-01 7.251012887738899071e-01 -1.795163068556981933e-02 5.388846395092434793e-01 7.181391180211178504e-01 -1.769697437920134675e-01 1.440168204891438819e-01 6.446275161097194673e-01 -8.681197546218770711e-01 6.030970561330699642e-01 -7.266529105411827505e-01 -8.892371601061106468e-01 -4.344250672835818783e-01 8.389578675483910786e-01 -2.884813062816631302e-01 -1.353544654570566497e-01 5.236792214181871241e-01 5.285150259968542930e-01 -2.241548801423185466e-01 6.846377158400618335e-02 -3.233595108907041382e-01 8.281041258609844746e-02 4.926221253313660675e-01 -5.849420319466069884e-01 -1.443249249102884768e-02 5.627457587156554641e-01 2.432321464910638387e-01 3.983565550575336456e-01 5.780671993777453110e-01 -1.822974735531328605e-01 6.881431726146478578e-01 1.755188021723514957e-01 -3.366855895399711862e-01 6.955110448819699087e-01 -2.046276889213773931e-01 -2.686919182058389310e-02 5.414520615360001177e-01 -5.755277370549309879e-01 9.321807562818131832e-01 -5.737845449360303718e-01 7.893188122290606401e-01 5.086671885316047526e-01 1.313046049743709087e-01 1.253124870867283747e-01 1.420846198638934244e-01 7.950553867399994257e-01 2.078995650444701582e-01 8.695962643781123269e-01 -8.422112721925074652e-01 -7.616820438703875151e-01 -4.152810194000726707e-01 -2.996945843182889924e-01 -2.161479419393499413e-01 -5.524583487320899877e-02 2.669743574623903992e-01 6.839550561620826308e-01 5.799778306446181642e-01 -9.208350147337815983e-01
3 208200.203125 -6.952608907026553986e-01 -6.106402059537578975e-01 3.319744195539431342e-01 -3.985196889261317654e-01 -2.160822700975728594e-01 -3.287621770985826863e-01 9.884683496146084991e-01 5.234621703180255547e-01 -4.661173343753950427e-01 7.861947854878672537e-01 -6.795184806873515448e-01 -1.413099522274841036e-02 5.650335440300298107e-01 9.821285965521786565e-02 -1.000000000000000000e+00 1.881729733922288261e-01 -6.542781924396732229e-01 2.673157439354998388e-01 8.476711878335942973e-01 -2.385213242626615937e-01 4.214130946050811399e-01 -4.228446189582506509e-01 -5.502513126939501120e-01 -3.562595865117006433e-01 -6.352564382468344206e-01 9.050902752964167242e-01 -5.732198220858266691e-01 1.112201332657041242e-01 -3.456107430308816841e-01 -3.629213729462867910e-01 -6.773599169044504098e-01 3.104790781305106773e-01 -4.070564735901978093e-01 -8.825507314640927969e-01 8.205948670985678817e-01 -2.924724942925533977e-01 -7.914859453475628914e-01 5.019010496893157036e-01 6.444936289153579967e-01 9.285771048280502260e-01 -7.515651308236792616e-02 -8.365146276589676688e-01 7.410402458764766553e-01 7.350903725184754212e-01 -2.793574954951005829e-02 5.293021851705737024e-01 7.081972150781623565e-01 -1.671347501613658082e-01 1.540085752668733932e-01 6.346070700774337769e-01 -8.581002948601978986e-01 6.128995065589928348e-01 -7.366190716432392538e-01 -8.792011898578286910e-01 -4.444502025250307575e-01 8.289483971526472317e-01 -2.784472480386268600e-01 -1.453709403298841796e-01 5.330122563955039805e-01 5.383046642181181785e-01 -2.151692210347526668e-01 7.830759415266119738e-02 -3.332781922365841698e-01 9.167684098369432988e-02 4.827608050741791779e-01 -5.949462263999656386e-01 -2.438026090355926989e-02 5.527379991594811859e-01 2.532599900185596997e-01 4.083350571150263786e-01 5.680916831404267953e-01 -1.921620925548790382e-01 6.781488119963545724e-01 1.738496320702469511e-01 -3.466936592265628114e-01 6.861298940551581182e-01 -1.946222027236077512e-01 -1.841973609741742735e-02 5.513497434204677194e-01 -5.855127052850592762e-01 9.421986700480184940e-01 -5.838052787469916183e-01 7.792903354022140405e-01 5.185712890912566042e-01 1.212948887094673633e-01 1.352420257911832735e-01 1.322726112743872751e-01 8.050632543295923593e-01 2.178352504779175192e-01 8.595765922748861421e-01 -8.323270888974363402e-01 -7.516465737423281279e-01 -4.226490061201280124e-01 -3.092753296800343499e-01 -2.072524916676838913e-01 -4.529210506487846288e-02 2.571923020695290329e-01 6.740648183389539305e-01 5.899357318467604028e-01 -9.307795216546557171e-01
4 195277.6875 -6.852911561158800957e-01 -6.202452048179913913e-01 3.420324938122110137e-01 -4.085618887911153241e-01 -2.078065777464104258e-01 -3.192742594518169774e-01 9.984877842305781570e-01 5.334967854919614449e-01 -4.562107546350495646e-01 7.762442491846450743e-01 -6.895807999139145217e-01 -2.399270849806178774e-02 5.571324035413456333e-01 1.073662983872458732e-01 -1.000000000000000000e+00 1.781431554608747803e-01 -6.442294816985705275e-01 2.574408477891427793e-01 8.376421065783967723e-01 -2.284739723211952622e-01 4.123841513495374311e-01 -4.327457057580510469e-01 -5.597406534016098334e-01 -3.468479767800860536e-01 -6.452042997916223044e-01 8.950344352810053472e-01 -5.633424681791951993e-01 1.209394165857138326e-01 -3.355511302277205399e-01 -3.530568033046370680e-01 -6.873701230450282029e-01 3.205296356842788352e-01 -4.169406196323659497e-01 -8.925437323514271437e-01 8.306528985159973288e-01 -2.826744499537310329e-01 -7.814515956005607666e-01 5.117806871989001305e-01 6.537673041857365863e-01 9.187089682209397257e-01 -6.553519279001429609e-02 -8.272292968865677665e-01 7.310768135495637754e-01 7.451152581654743035e-01 -3.796655654543834579e-02 5.195650931002921968e-01 6.983187268206350051e-01 -1.574111799635451447e-01 1.637732586997504569e-01 6.245718337113406182e-01 -8.480563012679356305e-01 6.227215035831117351e-01 -7.465969953494131506e-01 -8.691376831949830795e-01 -4.544803352434150234e-01 8.189268279453365551e-01 -2.683952441409003242e-01 -1.554158764205919585e-01 5.424647344243378466e-01 5.478189997610354300e-01 -2.067734690965288280e-01 8.785234575954281588e-02 -3.431500857989606690e-01 1.009621922451908738e-01 4.729971367829084450e-01 -6.049897375671342559e-01 -3.435248025896364688e-02 5.426915599141379776e-01 2.632658394321334416e-01 4.183450071418961524e-01 5.581327537581621812e-01 -2.019256071779249595e-01 6.681706191379566118e-01 1.685365997635162039e-01 -3.567003077149055734e-01 6.781883350980582037e-01 -1.846023620509955609e-01 -9.676236691735340401e-03 5.613248545324662775e-01 -5.954800640679467350e-01 9.522295636569462207e-01 -5.937650593580894309e-01 7.692445471513504884e-01 5.284381972838911867e-01 1.112787640139278889e-01 1.450470774010570452e-01 1.224726009136098970e-01 8.151030960858169916e-01 2.271941510770991712e-01 8.495210875356016267e-01 -8.225132688855225638e-01 -7.415799210718254653e-01 -4.304078265495723254e-01 -3.186270712025849328e-01 -1.980040403379161873e-01 -3.528680513162374410e-02 2.473683483366808655e-01 6.643452574848169867e-01 5.998997816405402528e-01 -9.406915505633852703e-01
5 183467.71875 -6.753584732664132950e-01 -6.294597578686882411e-01 3.520406538370923766e-01 -4.184634943375897809e-01 -1.997806800795984827e-01 -3.097904107533797635e-01 1.000000000000000000e+00 5.435173311757626191e-01 -4.464689957073466609e-01 7.664771703901060995e-01 -6.996380331878975234e-01 -3.389377853405584062e-02 5.485118023939323795e-01 1.153497966625258719e-01 -1.000000000000000000e+00 1.681756281086013161e-01 -6.342667525202014822e-01 2.477170494172913351e-01 8.275794809467067470e-01 -2.185005059248634751e-01 4.032878334249783148e-01 -4.424692089006463380e-01 -5.685710927009548499e-01 -3.378448292972140443e-01 -6.546736282397986884e-01 8.849452539174227361e-01 -5.536769612872889379e-01 1.307835381089152982e-01 -3.254929395541308335e-01 -3.433339269421344930e-01 -6.973839147775182656e-01 3.304679223016770973e-01 -4.266173824889090138e-01 -9.023257262769985854e-01 8.406610548155883933e-01 -2.727744807410201755e-01 -7.714840021243845047e-01 5.213530795284737618e-01 6.615091456733230846e-01 9.088453475969935358e-01 -5.591528252003863386e-02 -8.187097190927907775e-01 7.212659719072436193e-01 7.550979297541335900e-01 -4.804095502579408539e-02 5.097029607298202425e-01 6.885870261767379485e-01 -1.485845432542722833e-01 1.735565927985067702e-01 6.146199013555790902e-01 -8.380327371676701276e-01 6.325888159697437008e-01 -7.565293922828495443e-01 -8.590724070192456985e-01 -4.643952279690615192e-01 8.089534910028426395e-01 -2.583671007275354370e-01 -1.653636941932188353e-01 5.520937865567059344e-01 5.574059253793859359e-01 -2.007455996819906829e-01 9.739982986685835620e-02 -3.530498156617698502e-01 1.105042299780900628e-01 4.636976126544714027e-01 -6.149483652008846946e-01 -4.437403922172600268e-02 5.328188002217670860e-01 2.732626699178946073e-01 4.283361370021780967e-01 5.482896240935026810e-01 -2.115373311224697517e-01 6.581283829513926431e-01 1.626186492301857633e-01 -3.667467544108293787e-01 6.747642990143152275e-01 -1.746950763681385244e-01 -3.699237978867842003e-03 5.711241580194095224e-01 -6.053126921392548709e-01 9.622100317363939670e-01 -6.036624925794296104e-01 7.592435909065837762e-01 5.381454581607851839e-01 1.013160618439135074e-01 1.546711814165862009e-01 1.127639234950799096e-01 8.250835064232651117e-01 2.362247986529544264e-01 8.394307708898005593e-01 -8.125978257482344702e-01 -7.315699412426333037e-01 -4.387966485165184505e-01 -3.277797108598439202e-01 -1.885883318556507149e-01 -2.530802181471347723e-02 2.376453918804368737e-01 6.545844269334311072e-01 6.097960907555328713e-01 -9.503800322518847210e-01
6 172994.8125 -6.654885345501209137e-01 -6.383065241840888415e-01 3.619169823575691947e-01 -4.281677554244709416e-01 -1.922265075413776003e-01 -3.001315283589467420e-01 1.000000000000000000e+00 5.533537786009492532e-01 -4.366377608946101496e-01 7.569909850033291754e-01 -7.096381475170567832e-01 -4.389274919909347261e-02 5.397442227117610347e-01 1.228095573060676848e-01 -1.000000000000000000e+00 1.583053112753436409e-01 -6.245248594820478338e-01 2.382005252663237371e-01 8.176550728983154048e-01 -2.087293181351252969e-01 3.938692741643119444e-01 -4.520175526186982484e-01 -5.764373141810263945e-01 -3.291708652289204728e-01 -6.634828101013781065e-01 8.749166038645772581e-01 -5.442422622064044813e-01 1.406042517705263784e-01 -3.155754503011463097e-01 -3.338094185627347166e-01 -7.071448086588392190e-01 3.401764944807561530e-01 -4.360509546694781857e-01 -9.118561001259732901e-01 8.504121902989725257e-01 -2.628037654715738025e-01 -7.616341287529622139e-01 5.304083866634596856e-01 6.676560949235741393e-01 8.989823733109141290e-01 -4.648537602512314848e-02 -8.097180054571673224e-01 7.116601814188217023e-01 7.649290881984189827e-01 -5.816513269776302231e-02 5.001641267465777307e-01 6.789928558000795089e-01 -1.408555190936189305e-01 1.833827826368565894e-01 6.047913822794701577e-01 -8.280403872748154370e-01 6.425155169343137462e-01 -7.664086591260492742e-01 -8.490431013153076911e-01 -4.740964529443494335e-01 7.990806130325047718e-01 -2.484320588379871353e-01 -1.750994982443796477e-01 5.616985432770700282e-01 5.670808404919409629e-01 -1.961570539162629245e-01 1.066832039305289914e-01 -3.630355112548289132e-01 1.196914673376734406e-01 4.552351873331308418e-01 -6.246049444345906920e-01 -5.440697428973728655e-02 5.231907101456185760e-01 2.831568584113848264e-01 4.381746361309966087e-01 5.385442553595005677e-01 -2.209324471312879012e-01 6.480570438656945154e-01 1.584308576219117803e-01 -3.768387930720709100e-01 6.733282836561205187e-01 -1.650541237959120000e-01 -6.917789902907145461e-04 5.803231104856589884e-01 -6.149839397035110622e-01 9.720813115571937946e-01 -6.134226544412069160e-01 7.493242632228369615e-01 5.477021018256220675e-01 9.147093542365403174e-02 1.640988108278067514e-01 1.029065781226414789e-01 8.349325229779187563e-01 2.454792560820058256e-01 8.293222524756012071e-01 -8.026723830004627303e-01 -7.217449146261791793e-01 -4.471585226647680766e-01 -3.367896234698979363e-01 -1.790470568759401360e-01 -1.550229872126340780e-02 2.292288090501866105e-01 6.447284645750159804e-01 6.195799938923822747e-01 -9.597288280011317951e-01
7 163728.171875 -6.556552210253978608e-01 -6.469292338458110248e-01 3.717562898743824729e-01 -4.377301528001737996e-01 -1.871142944587660395e-01 -2.903082312085136785e-01 1.000000000000000000e+00 5.629399433287562982e-01 -4.267073690986769030e-01 7.476431466536888060e-01 -7.196041977917269072e-01 -5.398671104145158495e-02 5.306092949472260845e-01 1.298467359193131720e-01 -1.000000000000000000e+00 1.484705542006299339e-01 -6.148610382840016264e-01 2.288756132845026769e-01 8.077956935173740138e-01 -1.990306114560791428e-01 3.843254464294243444e-01 -4.614794444561163278e-01 -5.836065529383684947e-01 -3.207965067015581262e-01 -6.723211451535107130e-01 8.649024656800894384e-01 -5.350513442600062231e-01 1.505525147153439214e-01 -3.057999644577262810e-01 -3.245860561318045789e-01 -7.168529300777921609e-01 3.498251658544810905e-01 -4.453233568218972760e-01 -9.208695014703918158e-01 8.598439519884566451e-01 -2.527978061619362560e-01 -7.518255772328530373e-01 5.393583025419343979e-01 6.725726408585492866e-01 8.890477682116533220e-01 -3.733000014213994078e-02 -8.005189142238542388e-01 7.022301659591649869e-01 7.746891876615837891e-01 -6.831514618927436722e-02 4.909162453862256914e-01 6.695574815103284561e-01 -1.337486454211633813e-01 1.933214492338652946e-01 5.949688497448708535e-01 -8.180593957920807568e-01 6.525507365366005619e-01 -7.762423377292215765e-01 -8.389736183555007720e-01 -4.835795770738235966e-01 7.892570588370411144e-01 -2.386166145995032295e-01 -1.848283862941013656e-01 5.713250882890672511e-01 5.767371375349068519e-01 -1.918024419457786678e-01 1.160653289207538297e-01 -3.730652900706348252e-01 1.282415515337045342e-01 4.477668552622735554e-01 -6.343666979266480155e-01 -6.426975672336632250e-02 5.136138185966869774e-01 2.931386266171467359e-01 4.477417841831525802e-01 5.289043896407186196e-01 -2.301237273621676849e-01 6.379736506719131395e-01 1.553453037429934902e-01 -3.869425114497206941e-01 6.718479534086885252e-01 -1.556735317626449788e-01 -7.285349754582171045e-05 5.886846381819108576e-01 -6.245252845324147373e-01 9.818876577054462818e-01 -6.223962724792055923e-01 7.394827857244248293e-01 5.571699178059372759e-01 8.171419058440299032e-02 1.731435400009901926e-01 9.291951348539773115e-02 8.446663787022534731e-01 2.546027164716795355e-01 8.192100069084582437e-01 -7.927452750479275778e-01 -7.120494936531762686e-01 -4.559536415554708011e-01 -3.458806365810720429e-01 -1.692970510868390122e-01 -5.671174735913275811e-03 2.205910492156586411e-01 6.347977086319560591e-01 6.293154840878354417e-01 -9.688876590908668263e-01
8 155518.34375 -6.458781705600524781e-01 -6.552766249967028056e-01 3.814441075298862227e-01 -4.470882245222640439e-01 -1.827215848757219874e-01 -2.803297738545045270e-01 1.000000000000000000e+00 5.720995818751635209e-01 -4.166478075182573626e-01 7.384624536978372511e-01 -7.294465060298755965e-01 -6.411129849535335268e-02 5.216874817274403942e-01 1.367380298361644542e-01 -1.000000000000000000e+00 1.387857242279455505e-01 -6.053574464783051390e-01 2.199144190896493711e-01 7.981562329239120235e-01 -1.896702319166490014e-01 3.748101516242552389e-01 -4.708384651959101053e-01 -5.904366002887453391e-01 -3.125612207116179597e-01 -6.812376749803306097e-01 8.550405624149708395e-01 -5.260665224114349225e-01 1.605313287658991506e-01 -2.963803388327119759e-01 -3.158338898382431204e-01 -7.265716201453218392e-01 3.593095975608500137e-01 -4.542793262971069890e-01 -9.290105953577805220e-01 8.686286950143555785e-01 -2.427741573113164630e-01 -7.421189720070515694e-01 5.478095929705728562e-01 6.764398451596085327e-01 8.790721756058836878e-01 -2.819637064127400450e-02 -7.916233223911568473e-01 6.930111267276262144e-01 7.843159124188379128e-01 -7.842455122256475342e-02 4.819991148563451677e-01 6.603710795470945083e-01 -1.269180676825802934e-01 2.032050932931657172e-01 5.851615657547857285e-01 -8.081706508790391652e-01 6.626524702658438404e-01 -7.860203306930124700e-01 -8.290156407849074149e-01 -4.928000877950302616e-01 7.795266639073936688e-01 -2.290494078740250572e-01 -1.944218907751189551e-01 5.806200135466308421e-01 5.863605141875052329e-01 -1.880316814524256586e-01 1.251092087277492215e-01 -3.830839097793516945e-01 1.364044895920808464e-01 4.408672837503790909e-01 -6.441018686784580893e-01 -7.410094217600637911e-02 5.043279625583549919e-01 3.031128399341833646e-01 4.568826509917458534e-01 5.194478426635562585e-01 -2.390340983528016494e-01 6.280614178035397455e-01 1.539293936601242585e-01 -3.970194887622855440e-01 6.685676855907889404e-01 -1.467162575045082296e-01 -5.982700710553956469e-04 5.969259256145218462e-01 -6.339982162676323085e-01 9.915716671829424289e-01 -6.295646059910051662e-01 7.298529298606748483e-01 5.665028475438032007e-01 7.214892846046061514e-02 1.817930298433454439e-01 8.287469381001177915e-02 8.542131969139281633e-01 2.635872198079303175e-01 8.091183910676655877e-01 -7.831153055628234938e-01 -7.026136266937832442e-01 -4.650644042931622035e-01 -3.550575073890773758e-01 -1.595656624360044518e-01 4.029701924731732277e-03 2.122914125611028435e-01 6.247729924856657568e-01 6.389373780748950349e-01 -9.777548120574257595e-01
9 148049.359375 -6.360656199408079026e-01 -6.630606884588707839e-01 3.908658956859187850e-01 -4.561817484790993138e-01 -1.797504993887883984e-01 -2.702556035481795682e-01 1.000000000000000000e+00 5.809426638784589425e-01 -4.064900966456668208e-01 7.295683324234851774e-01 -7.390909221907571158e-01 -7.420636674893010820e-02 5.134183673076224697e-01 1.434289436474904811e-01 -9.989765472710132599e-01 1.292091716804311119e-01 -5.960721846237757582e-01 2.113651069600326338e-01 7.887361611953844776e-01 -1.806065317026206429e-01 3.653050622518587698e-01 -4.801375320449630113e-01 -5.971808867998387171e-01 -3.045629442097239625e-01 -6.899455447782756323e-01 8.453806816427378301e-01 -5.173961457976987699e-01 1.704688852263989141e-01 -2.873319737761972359e-01 -3.075245804674273664e-01 -7.361510346471080712e-01 3.686788879946740760e-01 -4.627955308405187207e-01 -9.363780842859197318e-01 8.766423606904725219e-01 -2.328327125790676799e-01 -7.325794982052002968e-01 5.554080498972167046e-01 6.782582785635773437e-01 8.690097176122570932e-01 -1.904903300343230299e-02 -7.825668566908881019e-01 6.842067085810159544e-01 7.937155509300783951e-01 -8.856765057528215301e-02 4.734757177086896807e-01 6.514507238471380912e-01 -1.201820862405460488e-01 2.131309979769344665e-01 5.754355117196585656e-01 -7.984511626680630414e-01 6.728113220085882862e-01 -7.956709662260472715e-01 -8.192620689616680885e-01 -5.016937163997403637e-01 7.700134133552758442e-01 -2.197688901766907676e-01 -2.038252964861737571e-01 5.895648416098804301e-01 5.959949214246773597e-01 -1.834114446421288847e-01 1.340527254888137509e-01 -3.930644514332828354e-01 1.437390781532879025e-01 4.348449701406598145e-01 -6.536733324794248290e-01 -8.386217599006706713e-02 4.954912880543729248e-01 3.129468016594183499e-01 4.656936060915073394e-01 5.102268839761912034e-01 -2.476633272725461410e-01 6.182640123520035669e-01 1.542444246677550090e-01 -4.070351291700862184e-01 6.642683839366885223e-01 -1.381420893066975797e-01 -3.531004625688893839e-03 6.053519045582274050e-01 -6.434129273034203678e-01 1.000000000000000000e+00 -6.342420986505441505e-01 7.204893884811038873e-01 5.754782229875001764e-01 6.291435663102240561e-02 1.900781807065756723e-01 7.297188033815804609e-02 8.634897425204817178e-01 2.727824367393330007e-01 7.990666870558080781e-01 -7.739859806348974303e-01 -6.935166587060670462e-01 -4.745096831984942920e-01 -3.642895767547575936e-01 -1.497322688175399819e-01 1.355024473260879603e-02 2.050582101036748650e-01 6.146817948087091033e-01 6.483441961518632279e-01 -9.862628209621808750e-01
