iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 3228.094970703125 -3.348109535371066592e-01 5.280432217329877886e-02 -5.081712070161672479e-01 -6.833162680989581794e-01 -2.348768831830232440e-01 2.552088816941857630e-01 -7.324575225649621046e-02 -8.643410572489587107e-01 6.417621599033827007e-01 -2.881570553103800503e-01 6.989754737788340666e-01 5.608676032699559943e-01 -3.654358924098708439e-01 -9.186595199286382574e-01 -3.656139547156613823e-01 9.919822492231382682e-01 -8.578041999977350507e-01 -4.397327812151263782e-01 -4.103205296647389755e-01 -8.238910981690203972e-01 4.100896160893447995e-01 -9.407204524333834250e-01 9.325098562767586419e-01 -8.991674360457602155e-01 -3.093818256296319014e-01 3.185633403061025604e-01 -5.947035609913766674e-01 4.981714616637344939e-01 4.206613115991961749e-01 4.768817979276374075e-01 -7.779011106918165552e-01 5.109878438160271319e-01 -1.804954932574576176e-01 -3.585810454156064253e-01 7.940444362335485895e-01 2.043549503993902228e-01 -6.736835679612964700e-01 -4.139036600910321884e-01 2.587230738733603541e-01 4.027657358248994957e-01 -1.991791718433697511e-01 4.912637046137409147e-01 3.473186629004272330e-01 -2.514021253508345044e-01 -5.568308733388673826e-01 -9.081737091405521767e-01 -8.757871198494564524e-01 5.632479260334382065e-01 8.280155729357641103e-01 7.660185585160639299e-01 -1.285283836453250395e-01 3.294686245438926964e-01 -8.528358433578588915e-01 -5.465644594021188407e-01 -2.145345815087982277e-01 -2.054953235982213133e-01 -6.913162112941242388e-01 -5.130970628660256327e-01 6.183815336438787114e-01 4.804271632517522761e-01 8.203260481838245965e-01 -5.897373620364283475e-01 -7.167289777538332629e-02 9.333637449621670079e-01 -9.988061003385653169e-01 -8.695815672806181951e-01 2.712173221059877015e-02 -7.496338120456136345e-02 8.897202790438469844e-01 -1.788362511198184901e-01 -8.934063225463853009e-01 6.110332600351675580e-01 7.645394914662204666e-01 -7.699949968475381379e-01 1.421868478255794432e-01 5.962179609842999106e-01 8.722024746265566453e-01 1.665722073475282006e-01 -7.084157146910738945e-01 8.524815842339190652e-01 -4.673817838970493188e-01 -2.368702672548050892e-01 9.260728648404874530e-01 7.397658299692806416e-01 -6.543137490548098789e-01 5.845434815898700176e-01 4.988911371811202144e-01 -7.155827045753735405e-01 -2.544172406484270788e-01 -5.764566774813448813e-01 3.537673936593173085e-01 1.234709899814872003e-01 -8.442120732159557051e-01 -6.989452468416081921e-01 -2.868015358397990600e-01 2.749687556565278967e-01 -2.285596513422905041e-01 -1.727616141055292598e-01 -9.669718030693021937e-01 -4.857652929547990883e-01
1 3125.228515625 -3.248109537606240771e-01 6.280432194978136096e-02 -4.981712072396846658e-01 -6.933162678754407615e-01 -2.448768829595058261e-01 2.452088819177031809e-01 -8.324575203297879256e-02 -8.743410570254412928e-01 6.317621601269001186e-01 -2.981570550868626324e-01 6.889754740023514845e-01 5.508676034934734123e-01 -3.754358921863534260e-01 -9.286595197051208395e-01 -3.556139549391788002e-01 1.000000000000000000e+00 -8.478042002212524686e-01 -4.497327809916089603e-01 -4.203205303725441322e-01 -8.138910983925378151e-01 4.000896163128622174e-01 -9.507204522098660071e-01 9.425098569845637986e-01 -8.891674362692776334e-01 -3.193818254061144835e-01 3.085633395982974037e-01 -6.047035607678592495e-01 4.881714618872519118e-01 4.106613118227135928e-01 4.868817977041199896e-01 -7.679011109153339731e-01 5.209878435925097140e-01 -1.904954939652627743e-01 -3.485810456391238432e-01 7.840444364570660074e-01 1.943549496915850661e-01 -6.636835691161364625e-01 -4.039036603145496063e-01 2.687230736498429362e-01 3.927657351170943389e-01 -2.091791716198523332e-01 5.012637043902234968e-01 3.373186631239446509e-01 -2.414021255743519223e-01 -5.668308731153499647e-01 -9.181737089170347588e-01 -8.857871196259390345e-01 5.732479258099207886e-01 8.180155731592815282e-01 7.760185582925465120e-01 -1.185283838688424574e-01 3.394686243203752785e-01 -8.628358431343414736e-01 -5.365644596256362586e-01 -2.245345812852808098e-01 -1.954953228904161566e-01 -7.013162110706068209e-01 -5.030970630895430507e-01 6.283815334203612935e-01 4.704271634752696940e-01 8.103260484073420145e-01 -5.997373618129109296e-01 -8.167289755186590838e-02 9.233637451856844258e-01 -9.888061005620827348e-01 -8.795815670571007772e-01 3.712173198708135224e-02 -6.496338142807878135e-02 8.997202797516521411e-01 -1.888362508963010722e-01 -8.834063227699027188e-01 6.210332598116501401e-01 7.545394916897378845e-01 -7.799949966240207200e-01 1.321868480490968611e-01 6.062179607607824927e-01 8.622024748500740632e-01 1.765722071240107827e-01 -6.984157149145913124e-01 8.424815835261139085e-01 -4.573817841205667367e-01 -2.268702674783225071e-01 9.160728650640048709e-01 7.497658297457632237e-01 -6.643137488312924610e-01 5.945434813663525997e-01 4.888911374046376324e-01 -7.255827043518561226e-01 -2.644172404249096608e-01 -5.664566767735397246e-01 3.637673943671224652e-01 1.334709897579697824e-01 -8.542120739237608618e-01 -7.089452466180907741e-01 -2.968015356162816420e-01 2.649687558800453147e-01 -2.385596511187730862e-01 -1.627616143290466777e-01 -9.569718032928196116e-01 -4.757652922469939316e-01
2 3065.08740234375 -3.149045640100838206e-01 7.267878596246379885e-02 -4.887759850600930100e-01 -7.030075696086961479e-01 -2.470802007842569648e-01 2.357583568723082834e-01 -9.277373238293673552e-02 -8.841837051963297167e-01 6.386998082965964496e-01 -3.076014008069749561e-01 6.790611009547016241e-01 5.409071830637668388e-01 -3.848378664546110439e-01 -9.386181259184520620e-01 -3.465044364484470840e-01 1.000000000000000000e+00 -8.378907594274997983e-01 -4.592824117974589893e-01 -4.294388666254123077e-01 -8.045963724380051918e-01 3.950539984584160447e-01 -9.591986038442015250e-01 9.513746155207833954e-01 -8.792850308690014494e-01 -3.293339002542299276e-01 2.993292436746948226e-01 -6.109197645617425732e-01 4.892652226021181328e-01 4.016632819573890956e-01 4.953448805391982290e-01 -7.583438292945334780e-01 5.295821376711578043e-01 -1.994131916705912388e-01 -3.414749784920179110e-01 7.895737125523967226e-01 1.855483289670858404e-01 -6.633059241567649256e-01 -3.943482171245114021e-01 2.783344381038739268e-01 3.853445596334801326e-01 -2.186401544864375879e-01 5.104195263767199453e-01 3.277313901222738135e-01 -2.325336296406403935e-01 -5.724256328292083307e-01 -9.269581548510323898e-01 -8.934516250182520380e-01 5.663555985906729706e-01 8.085572697077434423e-01 7.851235067834045900e-01 -1.085169744594982610e-01 3.494582882789247780e-01 -8.710056673918344927e-01 -5.265686740838038116e-01 -2.343965050394960503e-01 -1.864168425871286505e-01 -6.979552036390848091e-01 -4.937644742157394351e-01 6.378692927422893177e-01 4.637041539597159812e-01 8.005691871527691461e-01 -6.047509957979833040e-01 -8.169339925774199429e-02 9.158808435044698548e-01 -9.805135698987712534e-01 -8.888715646869220777e-01 4.709603750505286790e-02 -5.544250893201030372e-02 9.082842043324645953e-01 -1.988387764196060115e-01 -8.733964882270321972e-01 6.213339753144673239e-01 7.452625912492834015e-01 -7.893282579127232079e-01 1.224867760511563208e-01 6.139879696339769488e-01 8.530734963741457566e-01 1.698462518351535611e-01 -6.887132792199563980e-01 8.324834491887482812e-01 -4.479016988966535440e-01 -2.177341774232144367e-01 9.060915606568851199e-01 7.597609335594710522e-01 -6.737430341340506779e-01 6.042411943242116390e-01 4.808383021636775112e-01 -7.331848013527828556e-01 -2.733624186654473043e-01 -5.569795941336070921e-01 3.734055864992378293e-01 1.402595518099216676e-01 -8.637478988037647909e-01 -7.187481366282688633e-01 -3.068145059222608939e-01 2.564625490844720801e-01 -2.479686810868559910e-01 -1.532007014815277568e-01 -9.470349350797024890e-01 -4.660329461965526665e-01
3 3006.7939453125 -3.050469774250985644e-01 8.239671793341774020e-02 -4.791782970780702477e-01 -7.126816008961278648e-01 -2.437407811771838961e-01 2.267380656034827524e-01 -1.017654013150766090e-01 -8.938324734276024142e-01 6.470358205482715785e-01 -3.172978359902616230e-01 6.691131500029465773e-01 5.309125458426688926e-01 -3.926665174507000255e-01 -9.486199976533096212e-01 -3.370882241206687446e-01 1.000000000000000000e+00 -8.279200152870536122e-01 -4.681069036708425113e-01 -4.383166497078379020e-01 -7.961127362450277634e-01 3.955424417585440278e-01 -9.670775425340294440e-01 9.596250597169480034e-01 -8.693946421716156614e-01 -3.393331940882009512e-01 2.907322357220643028e-01 -6.133779062127471260e-01 4.881134720394055826e-01 3.925140537347209246e-01 5.044662221700146887e-01 -7.490024878511736262e-01 5.368969901100248965e-01 -2.085143645797318257e-01 -3.403863005865179758e-01 7.968715678886157949e-01 1.798219426397893450e-01 -6.672220270839430700e-01 -3.852161857731835060e-01 2.880057545860006396e-01 3.811071085085437904e-01 -2.279351551811297227e-01 5.189184194961147245e-01 3.181634867675098288e-01 -2.248016028960064805e-01 -5.692252866908800168e-01 -9.344187052561174767e-01 -8.980812095132302275e-01 5.581064154052743920e-01 7.991626417119543913e-01 7.917261661392536176e-01 -9.856460531344923837e-02 3.594407531139724998e-01 -8.784007569957950068e-01 -5.166312005110131889e-01 -2.442228550653287034e-01 -1.777702370507869833e-01 -6.911258966901547840e-01 -4.849545333262617053e-01 6.471331183451187741e-01 4.628722455297431537e-01 7.908792945105691530e-01 -6.047539794712952776e-01 -7.715881199368102017e-02 9.100373540736250710e-01 -9.741087583823671014e-01 -8.971741946122326894e-01 5.701379125364858247e-02 -4.625254000331557869e-02 9.160169430732068019e-01 -2.088514393891356402e-01 -8.635273336843476422e-01 6.156441857734016310e-01 7.374544423883520050e-01 -7.978586818892041688e-01 1.129398572566435721e-01 6.193879287958545810e-01 8.444846812662041291e-01 1.616165612312416844e-01 -6.791174846167278289e-01 8.224964413621815851e-01 -4.391384647656153550e-01 -2.089995619035716068e-01 8.961359123240508762e-01 7.696686867662605458e-01 -6.827049091257060276e-01 6.129679550692601619e-01 4.722079640387466526e-01 -7.347499329444158178e-01 -2.812856007655049062e-01 -5.473922652525817778e-01 3.809795156488953172e-01 1.416150965903026915e-01 -8.730041564793529218e-01 -7.285789011231051937e-01 -3.167401693934828177e-01 2.486651383728260001e-01 -2.570376656251727177e-01 -1.441929029737181178e-01 -9.371253415795055552e-01 -4.561643923569287384e-01
4 2942.7431640625 -2.951494771485330126e-01 9.200162459671634707e-02 -4.695443154553147203e-01 -7.224531602835733146e-01 -2.383858090866117774e-01 2.177367369935989672e-01 -1.105779685342147545e-01 -9.026845846032587328e-01 6.559646438330763996e-01 -3.269618853623386112e-01 6.593321013697883703e-01 5.209167388804172294e-01 -3.997385582618810940e-01 -9.586623139336150068e-01 -3.275439931231063362e-01 9.992178026004694402e-01 -8.179977418300032888e-01 -4.767223583297084399e-01 -4.465999276813705787e-01 -7.880631513198530502e-01 3.988296877436645627e-01 -9.749987949337124427e-01 9.678750978564700791e-01 -8.594639300007167471e-01 -3.493754777722162252e-01 2.823180752618306144e-01 -6.125363246590607158e-01 4.882262120203830769e-01 3.830359894807946475e-01 5.139279808283045980e-01 -7.395907663608500826e-01 5.445190434910804900e-01 -2.176328051407283581e-01 -3.412199741056003433e-01 8.049831835538727720e-01 1.764293345019880555e-01 -6.715131656956769834e-01 -3.761657895021335296e-01 2.976826860119297091e-01 3.775504809611753831e-01 -2.374873657505114366e-01 5.275812253886418279e-01 3.084837474040182936e-01 -2.173432564657942212e-01 -5.631150390006494089e-01 -9.406658494485746758e-01 -9.016746135920863381e-01 5.493348133409032830e-01 7.899323278893273237e-01 7.951857538324680341e-01 -8.855677032014641625e-02 3.693916712594502716e-01 -8.837542929869570685e-01 -5.066711395718204169e-01 -2.540258149246998887e-01 -1.695554811356816405e-01 -6.833814987221009662e-01 -4.763273244451815547e-01 6.564791983577382695e-01 4.643857764956376144e-01 7.811514216024537660e-01 -6.049049392645406975e-01 -7.180133417972189847e-02 9.045040625810139012e-01 -9.682246553710271986e-01 -9.048998888290205045e-01 6.639258583434659577e-02 -3.731498836334146141e-02 9.230344162977572875e-01 -2.189022688890955859e-01 -8.537202406153903134e-01 6.085780132257632147e-01 7.290444384207688255e-01 -8.062451923135200982e-01 1.034785298007057097e-01 6.231765304029388552e-01 8.356848936554348573e-01 1.527191495942334942e-01 -6.695396449814152717e-01 8.124954311007055452e-01 -4.303963670004080644e-01 -2.011205757162923824e-01 8.868262544746794429e-01 7.795486204364237004e-01 -6.917730917952860104e-01 6.210248154863877712e-01 4.630639093129804706e-01 -7.334948652969810468e-01 -2.889948003281737066e-01 -5.376666601149355795e-01 3.888396602491674958e-01 1.445734976966006613e-01 -8.823091139436902708e-01 -7.384678295066939846e-01 -3.266114669094115630e-01 2.408703409523242911e-01 -2.661938294070540501e-01 -1.355609396908945552e-01 -9.273843929024425670e-01 -4.462626862276162232e-01
5 2872.256591796875 -2.852423991506101153e-01 1.016243884390606311e-01 -4.600493197569819337e-01 -7.323093973821479530e-01 -2.317482400353758631e-01 2.086239532859206491e-01 -1.194007262849643425e-01 -9.105389568662134447e-01 6.652733489394540012e-01 -3.362242161924358097e-01 6.496668096133968451e-01 5.109051683522676246e-01 -4.065929806523420620e-01 -9.687476237892549413e-01 -3.180162334965985771e-01 9.971546285669319332e-01 -8.081322445910692487e-01 -4.852624838934491702e-01 -4.545611096051176414e-01 -7.799574756299769707e-01 4.040283401340551972e-01 -9.831892796512007315e-01 9.763556439211449334e-01 -8.494742520723286283e-01 -3.594568248503011709e-01 2.738777772335403426e-01 -6.093626308773421041e-01 4.862994078261562159e-01 3.733495362128627093e-01 5.236079949319556448e-01 -7.300433716605017054e-01 5.528189902760536345e-01 -2.253811602984017171e-01 -3.428552021564730268e-01 8.123354472205621679e-01 1.742321927428904793e-01 -6.758153837864198099e-01 -3.670207904152766876e-01 3.072287638221575801e-01 3.733276194700316797e-01 -2.472308476249773790e-01 5.364703603619294103e-01 2.987129572890194762e-01 -2.098080400672570622e-01 -5.556038940310370489e-01 -9.461272037228773968e-01 -9.039506185826491347e-01 5.403386787170181282e-01 7.806470353011529806e-01 7.942239025620643211e-01 -7.856115241637739999e-02 3.793561280411952286e-01 -8.884709235463716936e-01 -4.967498207204090743e-01 -2.638681427206226449e-01 -1.616301765514764899e-01 -6.752231492900497845e-01 -4.675426503371531428e-01 6.659627983930480610e-01 4.662889216040095874e-01 7.713017447400947191e-01 -6.059407273610282196e-01 -6.676881250717503491e-02 8.987581594578437638e-01 -9.622501111588050993e-01 -9.123193003876783891e-01 7.546905168690520860e-02 -2.853363628293670295e-02 9.299280035964485602e-01 -2.289787516693733149e-01 -8.439128336907253392e-01 6.008976134167305361e-01 7.201088891243301315e-01 -8.146762153002897744e-01 9.397833732240656879e-02 6.260434749339176541e-01 8.265762710970199212e-01 1.434681278141598515e-01 -6.599550644333076477e-01 8.024630632081422021e-01 -4.215096078310083261e-01 -1.932190152011270534e-01 8.781319512526788440e-01 7.894991586022910290e-01 -7.010228097237551914e-01 6.286652024179859577e-01 4.536103919281533337e-01 -7.310867570886525613e-01 -2.968627363731051183e-01 -5.279506643636142638e-01 3.969295779610810815e-01 1.500697951939029551e-01 -8.917759687991084760e-01 -7.484105883350955501e-01 -3.363622857431203261e-01 2.327566940725320777e-01 -2.755626923638163639e-01 -1.272117743704981319e-01 -9.178011869864550754e-01 -4.363263041648830498e-01
6 2786.859130859375 -2.752691609283091090e-01 1.112727375751747516e-01 -4.505595366710992700e-01 -7.422408900013643951e-01 -2.244813134561984835e-01 1.993508759246349626e-01 -1.283228896820380882e-01 -9.180234539029983321e-01 6.748293164641017139e-01 -3.447078607673164097e-01 6.401353898891708472e-01 5.008988746978257911e-01 -4.134150828898348617e-01 -9.788738336070816892e-01 -3.086433444323462005e-01 9.925833225133828819e-01 -7.983606432941079412e-01 -4.939424326406072208e-01 -4.617892549809654579e-01 -7.716661342655932732e-01 4.107269056916542649e-01 -9.917801567073225577e-01 9.851492782836637208e-01 -8.394060869339647901e-01 -3.695930994711917883e-01 2.653966816885464652e-01 -6.053736254160069219e-01 4.818063943361647894e-01 3.635727912213218005e-01 5.334485560089543554e-01 -7.204063287804434168e-01 5.612317677222640189e-01 -2.320442881007140912e-01 -3.458140605421551328e-01 8.165786399491710146e-01 1.736796942402336619e-01 -6.800363761131562601e-01 -3.577178781353131942e-01 3.167163527120544497e-01 3.683506930985764871e-01 -2.571106965447862436e-01 5.456015460723595556e-01 2.888703035301956046e-01 -2.020052803044036782e-01 -5.472894456222545667e-01 -9.513887967555056946e-01 -9.065797792308609715e-01 5.315505186685929306e-01 7.711106031988304021e-01 7.905499239465121342e-01 -6.855923504671368462e-02 3.892943010372393875e-01 -8.925287327912130309e-01 -4.868928599841939597e-01 -2.738115786205359559e-01 -1.537821242435131186e-01 -6.666436539271123340e-01 -4.584050906550223292e-01 6.756345712232363354e-01 4.695734471958896705e-01 7.613426095355411150e-01 -6.092391145252782358e-01 -6.261050191500050488e-02 8.923566974430792165e-01 -9.559483961200883062e-01 -9.197192691906073136e-01 8.350688797780114747e-02 -1.967644008602298378e-02 9.368142711653646426e-01 -2.391066155160925799e-01 -8.340389172957167752e-01 5.937912747890941034e-01 7.108247644146643562e-01 -8.231490192804018502e-01 8.438873042636374500e-02 6.282998185407770997e-01 8.172494154449856385e-01 1.340244591655592732e-01 -6.503615357379031181e-01 7.924068869852813890e-01 -4.124746985230516305e-01 -1.850419443226809513e-01 8.699865648995437351e-01 7.995348550417360478e-01 -7.104443035818541752e-01 6.359565561913116394e-01 4.451880879833272076e-01 -7.284414521964404088e-01 -3.050516732324743963e-01 -5.181978226972734358e-01 4.052368812630711137e-01 1.569761327643020010e-01 -9.014180203319730467e-01 -7.583824714830504909e-01 -3.459195580506950751e-01 2.243247062355750998e-01 -2.850880519720493389e-01 -1.187276548211044780e-01 -9.083137024046865626e-01 -4.263114060211743439e-01
7 2684.5693359375 -2.653033267204762957e-01 1.210987066900743869e-01 -4.412099222893091088e-01 -7.522837613499242515e-01 -2.188639747578411399e-01 1.898141811893463426e-01 -1.375660538935497001e-01 -9.226041756277767458e-01 6.844772129774445713e-01 -3.528742186421867100e-01 6.305456414320966818e-01 4.908078958816741721e-01 -4.209978344582416820e-01 -9.890328893094699758e-01 -2.992636259796541687e-01 9.886868171743117273e-01 -7.887368838679313932e-01 -5.029750136421273776e-01 -4.678579270344813690e-01 -7.628868413394009895e-01 4.181972084410794377e-01 -1.000000000000000000e+00 9.943101620083532044e-01 -8.293064766201916349e-01 -3.797884888611835486e-01 2.566872174663537010e-01 -5.999863285158537618e-01 4.760307536175258925e-01 3.544621625940811427e-01 5.434128190756037924e-01 -7.105946163515159952e-01 5.697614121817500266e-01 -2.361496758219248093e-01 -3.477600147075765591e-01 8.178501228554753144e-01 1.738977097972722596e-01 -6.813622541949995171e-01 -3.481740448124901466e-01 3.262391698096587245e-01 3.618672015884236703e-01 -2.670452764983375360e-01 5.550441856095151838e-01 2.789135515801104415e-01 -1.935611638535574830e-01 -5.384653849512230916e-01 -9.558156155621837513e-01 -9.109018140033464661e-01 5.228376569816479691e-01 7.613737337146442297e-01 7.849063908694211555e-01 -5.849704527398857934e-02 3.991970204455130844e-01 -8.964583166126587344e-01 -4.770238516591536193e-01 -2.838352433036395173e-01 -1.457764269633445853e-01 -6.595653769799716404e-01 -4.489545199748212756e-01 6.854820306065452229e-01 4.733450181727132389e-01 7.512820095304508783e-01 -6.150595928379494204e-01 -6.260259270441981272e-02 8.848139280184619260e-01 -9.488299242219497831e-01 -9.271655624440588994e-01 8.758708016373950578e-02 -1.068633670713103889e-02 9.439673188797470527e-01 -2.492792489702961856e-01 -8.241754764170274861e-01 5.879489881613544355e-01 7.015762842138968391e-01 -8.319127749520818238e-01 7.465476946257809665e-02 6.307059879683358794e-01 8.076744116869127854e-01 1.244081158610443882e-01 -6.406223239774417877e-01 7.822696288877519777e-01 -4.031034960839818826e-01 -1.766597636170144092e-01 8.630957338500120368e-01 8.096410451494988614e-01 -7.201051650367582546e-01 6.434523743853135525e-01 4.365654807670882320e-01 -7.273103510342675548e-01 -3.137551835094476438e-01 -5.086079755200063612e-01 4.134199787298975526e-01 1.648354857403857565e-01 -9.112360275701822943e-01 -7.682517750373469845e-01 -3.556289721453815833e-01 2.153890777767175635e-01 -2.948182336288271976e-01 -1.100362685014075748e-01 -8.994165934475151225e-01 -4.162260374922122086e-01
8 2570.5595703125 -2.555590318014027140e-01 1.310582460886253742e-01 -4.322239260429712182e-01 -7.624304295307475776e-01 -2.153364747896551190e-01 1.800569865212917620e-01 -1.470593815931513504e-01 -9.218383794008617738e-01 6.939958605438822925e-01 -3.605475809121843067e-01 6.209881791347167113e-01 4.807487738855098502e-01 -4.292812139459349918e-01 -9.992674212559502500e-01 -2.898325460182946678e-01 9.858508032630197704e-01 -7.793629610356211934e-01 -5.120250057191799709e-01 -4.730637035769065246e-01 -7.537128417988931961e-01 4.246693452664025425e-01 -1.000000000000000000e+00 1.000000000000000000e+00 -8.192034204128924024e-01 -3.900481134317916876e-01 2.480326044185154899e-01 -5.931922162470184556e-01 4.690402365935750773e-01 3.477893890838634761e-01 5.534756244525507185e-01 -7.006284235844919550e-01 5.784356807925254973e-01 -2.364275873967374153e-01 -3.474014760927577328e-01 8.185828456058745761e-01 1.744710632317194587e-01 -6.784911273271687637e-01 -3.384412023671166114e-01 3.358286025483800952e-01 3.543356490128950487e-01 -2.769826606641609956e-01 5.647221955069856580e-01 2.688525892905386794e-01 -1.846254590262488282e-01 -5.292456323265921636e-01 -9.580072455214541094e-01 -9.162826885030250779e-01 5.141049227336058625e-01 7.514665141556899908e-01 7.779359792372111393e-01 -4.840355095556292397e-02 4.090426805136078148e-01 -9.009209820252337408e-01 -4.672113625071989684e-01 -2.939191682826109986e-01 -1.377323703689727896e-01 -6.558649795369453361e-01 -4.392679726433093013e-01 6.954787530588877331e-01 4.783740539048633167e-01 7.411233030740280725e-01 -6.220565671869713320e-01 -6.635964180116804556e-02 8.767075501113645863e-01 -9.409619751385023267e-01 -9.343525056435444398e-01 8.704825731818366386e-02 -1.771307240978847730e-03 9.506235446504589515e-01 -2.594480090539119654e-01 -8.145679797456488735e-01 5.835024988905779253e-01 6.922919480940066261e-01 -8.408915655556599145e-01 6.484729920797804859e-02 6.331964425545586472e-01 7.979681212481415375e-01 1.146114275278906636e-01 -6.307284428204011917e-01 7.720520935782584360e-01 -3.934988306332301011e-01 -1.677703976757283222e-01 8.578593619640269008e-01 8.198215045072969609e-01 -7.299547310717309223e-01 6.511102967240078865e-01 4.280305817856362438e-01 -7.274983095230904695e-01 -3.228610139627838826e-01 -4.991922381667410757e-01 4.172482893704263507e-01 1.727582208056075430e-01 -9.212012089208903021e-01 -7.780973969212161556e-01 -3.653998563239604369e-01 2.061275562659377059e-01 -3.046674774261890484e-01 -1.010713126946753970e-01 -8.919840437212971374e-01 -4.060600993159975136e-01
9 2454.415283203125 -2.457617222760917208e-01 1.410692457160367397e-01 -4.235114909017654306e-01 -7.726651859259683341e-01 -2.127109262760489283e-01 1.701305016235590273e-01 -1.566981585958435730e-01 -9.178806668436949590e-01 7.034703364119285762e-01 -3.674058058927174297e-01 6.113441373655101874e-01 4.705945135630582588e-01 -4.380698666640021610e-01 -1.000000000000000000e+00 -2.802407579647820945e-01 9.824153258814476430e-01 -7.700803758021712575e-01 -5.208289144323419162e-01 -4.779235934343775138e-01 -7.443108433162486381e-01 4.304113256588883996e-01 -1.000000000000000000e+00 1.000000000000000000e+00 -8.090304861414971960e-01 -4.003738637678426748e-01 2.396055144069784149e-01 -5.856007954624258272e-01 4.616907836584158709e-01 3.438628208849143775e-01 5.635477067336633894e-01 -6.905371327752778399e-01 5.874973265089542540e-01 -2.340492568307483978e-01 -3.458153871820588421e-01 8.195196330649425764e-01 1.752019178072417027e-01 -6.733591958173461567e-01 -3.285818807281748466e-01 3.453514718000485484e-01 3.460629406192616830e-01 -2.869956970940430452e-01 5.746059969598011907e-01 2.587167495972904074e-01 -1.753514345099047578e-01 -5.197182880699526830e-01 -9.585484498752485649e-01 -9.218424793825130692e-01 5.055338875049362191e-01 7.414051588479917410e-01 7.700813201269034458e-01 -3.836265121689352853e-02 4.188155679670446663e-01 -9.064290407296695662e-01 -4.576279349364387183e-01 -3.040081624503561120e-01 -1.295746635494980925e-01 -6.542604010791726044e-01 -4.294060283999974192e-01 7.056018625038635861e-01 4.846560505163690635e-01 7.308658196140189744e-01 -6.299603312113482012e-01 -7.205154730712326483e-02 8.680137237265221906e-01 -9.327958351931144865e-01 -9.412196731834390206e-01 8.415697546568501330e-02 6.863291684730876696e-03 9.575254738054510550e-01 -2.696835784937403613e-01 -8.056468501166329510e-01 5.807140324891797434e-01 6.827131752734743042e-01 -8.500352002549449448e-01 5.507385109835127857e-02 6.361510361813409453e-01 7.880676416706597909e-01 1.046770822676281743e-01 -6.207192201564621925e-01 7.617486744949015787e-01 -3.836715371776293626e-01 -1.584958478934521686e-01 8.539885606623538461e-01 8.300739001520809346e-01 -7.399632645569647060e-01 6.582265069052739559e-01 4.205547874926498508e-01 -7.298906280884889242e-01 -3.322292622466469503e-01 -4.898769625795995619e-01 4.168608543190466253e-01 1.809127480898125029e-01 -9.313078767971338934e-01 -7.880905766224848286e-01 -3.751054147431880370e-01 1.965637209281796416e-01 -3.146735578077612949e-01 -9.190938216341204559e-02 -8.865938462169853373e-01 -3.958039094630445565e-01
