iter loss z0 z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 z25 z26 z27 z28 z29 z30 z31 z32 z33 z34 z35 z36 z37 z38 z39 z40 z41 z42 z43 z44 z45 z46 z47 z48 z49 z50 z51 z52 z53 z54 z55 z56 z57 z58 z59 z60 z61 z62 z63 z64 z65 z66 z67 z68 z69 z70 z71 z72 z73 z74 z75 z76 z77 z78 z79 z80 z81 z82 z83 z84 z85 z86 z87 z88 z89 z90 z91 z92 z93 z94 z95 z96 z97 z98 z99
0 6686.564453125 2.722181826518015324e-01 8.644974083941545651e-01 -7.625519613991376122e-01 9.344532140465791059e-01 4.671916304771337458e-01 -5.876721634867145827e-01 -2.045936988443846083e-01 -6.016295085590925851e-01 7.975099926372755110e-01 8.401880992849393159e-01 1.330793620692489743e-01 6.087828130772308111e-01 3.932994154833788780e-01 3.101853487782340046e-01 3.230331584232577491e-01 2.336450471106241711e-01 -8.003385775614972886e-01 8.224617532997822167e-01 -4.530571280552764257e-01 2.323681318227239778e-01 -9.189387419974450744e-01 -1.295197274449326752e-01 7.621371284247837607e-01 -4.132433668812642846e-01 3.243949333305338190e-01 -6.070333966558014716e-01 -2.402826719685700052e-01 -8.864771496797763106e-01 -4.225827830983055478e-01 4.101338330520596376e-01 -3.332454290955166876e-01 -3.984722927712944784e-01 7.597781290992180470e-01 -3.810179101230002363e-01 -7.451044590473909768e-01 8.032477974434097945e-01 5.044714190904262541e-01 8.332868981672787445e-01 -6.111308769627599169e-02 9.773938069185361677e-01 9.584918753778435274e-01 3.637617181091508112e-01 -9.861215286895599341e-01 1.755851723742480885e-01 2.499647375969522578e-01 -5.234311823748010184e-01 7.971720823420582747e-01 -6.107245810195780500e-01 -1.531318671864543290e-01 -5.955748198561774398e-01 -1.975950291962322858e-01 3.358474122859580469e-01 6.942374694040971406e-01 1.423648655465723500e-01 4.036323809797681683e-02 5.614954417057467229e-01 3.336314746903212836e-01 -5.773099931620784275e-03 -9.021732749579896016e-01 3.584812042887453032e-02 6.779614922687107192e-01 4.346797409696678827e-03 -9.695948278742783089e-02 -9.293733355725037892e-01 -5.575193554291213438e-01 6.862209515222024159e-01 6.098402396784710078e-01 7.191081534195615799e-01 5.117197199573604305e-01 -3.969791417472339212e-01 -3.429216138043080786e-01 1.325313024122991568e-01 -3.959241218218285674e-01 -9.999784069728554492e-01 -7.265092146879856827e-01 5.070220483037368719e-01 -1.497979467252188446e-01 3.844673773780449277e-01 -8.508484365250756909e-02 -2.407479863177293122e-01 4.170177835867685534e-01 7.347370979467067187e-01 -6.487512376530155667e-01 -8.019882490031939870e-01 8.647257616863681662e-01 4.182229723610937366e-01 3.832291281518775961e-01 4.452549168601585006e-01 3.124180549718345024e-01 -3.217105597339191547e-01 8.343482142575984195e-01 -1.461830592249648841e-01 -6.299581800161420109e-01 -7.471985826814206977e-01 -3.019415978277915080e-01 4.113731123987522942e-01 2.740194467688583657e-01 -7.395310361427853696e-01 -2.909736801683302510e-01 5.095510872885602449e-01
1 6332.185546875 2.822181833596066891e-01 8.544974086176719830e-01 -7.525519616226550301e-01 9.244532142700965238e-01 4.571916307006511637e-01 -5.976721632631971648e-01 -1.945936990679020262e-01 -5.916295078512874284e-01 8.075099924137580931e-01 8.301880995084567338e-01 1.230793622927663922e-01 5.987828123694256544e-01 3.832994157068962959e-01 3.201853485547165867e-01 3.330331591310629058e-01 2.236450473341415890e-01 -7.903385777850147065e-01 8.124617535232996346e-01 -4.630571278317590078e-01 2.423681315992065599e-01 -9.289387417739276565e-01 -1.395197272214152573e-01 7.521371286483011787e-01 -4.032433671047817025e-01 3.143949335540512369e-01 -6.170333964322840536e-01 -2.302826721920874231e-01 -8.964771494562588927e-01 -4.125827823905003910e-01 4.001338332755770555e-01 -3.432454288719992697e-01 -3.884722929948118963e-01 7.497781283914128903e-01 -3.910179098994828184e-01 -7.351044592709083947e-01 7.932477976669272124e-01 5.144714188669088362e-01 8.232868983907961624e-01 -7.111308747275857378e-02 9.673938071420535856e-01 9.484918756013609453e-01 3.737617178856333933e-01 -9.761215289130773520e-01 1.855851721507306706e-01 2.599647373734348399e-01 -5.134311825983184363e-01 7.871720816342531180e-01 -6.007245812430954679e-01 -1.431318664786491723e-01 -6.055748196326600219e-01 -2.075950289727148679e-01 3.258474125094754648e-01 7.042374691805797227e-01 1.523648653230549321e-01 3.036323832149423474e-02 5.514954419292641408e-01 3.236314749138387015e-01 -1.577310063942594098e-02 -9.121732747344721837e-01 2.584812065239194823e-02 6.679614924922281372e-01 -5.653202366785903266e-03 -1.069594825639104130e-01 -9.393733362803089459e-01 -5.475193556526387617e-01 6.762209517457198338e-01 6.198402394549535899e-01 7.091081527117564232e-01 5.217197197338430126e-01 -3.869791419707513391e-01 -3.529216145121132353e-01 1.225313026358165747e-01 -4.059241215983111495e-01 -1.000000000000000000e+00 -7.365092144644682648e-01 4.970220485272542899e-01 -1.397979469487362625e-01 3.944673771545275098e-01 -9.508484342899015118e-02 -2.507479860942118943e-01 4.270177842945737101e-01 7.247370981702241366e-01 -6.587512374294981488e-01 -7.919882492267114049e-01 8.547257619098855841e-01 4.282229721375763187e-01 3.732291283753950140e-01 4.552549166366410827e-01 3.024180551953519203e-01 -3.117105599574365726e-01 8.243482144811158374e-01 -1.361830594484823020e-01 -6.199581802396594288e-01 -7.571985824579032798e-01 -3.119415976042740901e-01 4.013731126222697121e-01 2.640194469923757836e-01 -7.295310363663027875e-01 -2.809736803918476689e-01 4.995510875120776628e-01
2 5986.0478515625 2.922278484017686306e-01 8.444945431616273090e-01 -7.428759400988813599e-01 9.144396926211530996e-01 4.471780876312885233e-01 -6.076781654136731436e-01 -1.845803562328929281e-01 -5.816266787168231645e-01 8.172368352791059554e-01 8.201802086357994348e-01 1.130795795144436955e-01 5.888349070524767637e-01 3.732885986187095551e-01 3.301989102505307194e-01 3.429658634009489226e-01 2.136370111751626499e-01 -7.803288959790464219e-01 8.024583600073551537e-01 -4.730612598865051588e-01 2.523743107009717157e-01 -9.389283871060256637e-01 -1.495327124285557030e-01 7.421273062126241271e-01 -3.932840400477777276e-01 3.043864782999137208e-01 -6.269440209065710867e-01 -2.204486061587240808e-01 -9.064547779331766364e-01 -4.026167032448304539e-01 3.901290511576738229e-01 -3.532544662027459204e-01 -3.784626475104240217e-01 7.397672032698074940e-01 -4.008183775396443327e-01 -7.251432230026264580e-01 7.833580469255050360e-01 5.244731993321540831e-01 8.133566118343138474e-01 -8.025342994674233843e-02 9.573847176572427564e-01 9.384826529374219461e-01 3.837680934964617929e-01 -9.674617051154341674e-01 1.955450524133439671e-01 2.699597657500141246e-01 -5.039717457272070433e-01 7.771603471933303808e-01 -5.907640462607122167e-01 -1.331372720983896585e-01 -6.154940383516656066e-01 -2.175830370397267011e-01 3.158354945980055284e-01 7.139297907120543130e-01 1.623704688674689756e-01 2.034969618345416897e-02 5.416315400459004170e-01 3.300614093223543932e-01 -2.578398664548320340e-02 -9.221314544020642323e-01 1.583754105146173430e-02 6.579495997264677154e-01 -1.557640528376569300e-02 -1.169726819752430202e-01 -9.493846860850083669e-01 -5.375058200338567183e-01 6.662452846341442303e-01 6.298536595897363810e-01 6.990945733208133728e-01 5.317076169734684665e-01 -3.769684152208543360e-01 -3.629345689856087187e-01 1.125179951910653120e-01 -4.158527140790302390e-01 -1.000000000000000000e+00 -7.463779825082843544e-01 4.870433471667305891e-01 -1.297863745579415085e-01 4.044710118830188161e-01 -1.050796482881515281e-01 -2.607586485828512490e-01 4.370307927847785212e-01 7.162337598481807177e-01 -6.687280211968407162e-01 -7.819750460900884992e-01 8.447349654630853522e-01 4.364479055457770595e-01 3.632578589690167448e-01 4.652350578218651389e-01 2.925313619859422065e-01 -3.017296765081205479e-01 8.145084059127574161e-01 -1.263690960128920349e-01 -6.110305769874273540e-01 -7.671517171511086364e-01 -3.219524277309768756e-01 3.914473364610162598e-01 2.540233140672230050e-01 -7.233017195505688779e-01 -2.710128473862405407e-01 4.895458117932098840e-01
3 5652.513671875 3.022560551450685917e-01 8.345004535582032368e-01 -7.333728931168910226e-01 9.044099063547665907e-01 4.371438254286084124e-01 -6.176084137859298995e-01 -1.745482723937148428e-01 -5.716054522362199464e-01 8.270104240184414923e-01 8.101492246885819704e-01 1.030707573192117810e-01 5.789429891234234571e-01 3.632541725032563118e-01 3.402287393577556607e-01 3.529380333962568450e-01 2.036255188781093128e-01 -7.703001714203949746e-01 7.924283604680990578e-01 -4.830886945633907636e-01 2.624056867349930933e-01 -9.489457271775250113e-01 -1.595335811290004013e-01 7.321083130435548370e-01 -3.834710368057618890e-01 2.943621533091047571e-01 -6.368909632359778250e-01 -2.107145380928423517e-01 -9.164288468952141997e-01 -3.928729419735921269e-01 3.802379108829703203e-01 -3.632876434146266043e-01 -3.684309743845013418e-01 7.297935804112831715e-01 -4.098866430969334562e-01 -7.249193172232051285e-01 7.734521591578324973e-01 5.344960276875856398e-01 8.034432967691087502e-01 -8.918340620889453341e-02 9.474192606350526624e-01 9.285009070834018274e-01 3.937960981427630625e-01 -9.623199984438683963e-01 2.055066844937201154e-01 2.799592644749515635e-01 -4.944534911788958098e-01 7.671267387790976500e-01 -5.808658344536996587e-01 -1.231802277130160661e-01 -6.253674685962902213e-01 -2.274943078518805173e-01 3.058137698598248910e-01 7.234244073620992310e-01 1.724017312801362500e-01 1.032591135973848218e-02 5.317937887691093213e-01 3.379610010215969851e-01 -3.581292075171393918e-02 -9.320881188078273816e-01 5.854577027514018539e-03 6.479426913991266357e-01 -2.550583316083421259e-02 -1.270079053028201344e-01 -9.594188262844312032e-01 -5.274715084710801527e-01 6.562497729011487202e-01 6.398594112144397883e-01 6.890594179797842056e-01 5.417024274205652912e-01 -3.669825464017963945e-01 -3.729688507460628966e-01 1.024854252015032774e-01 -4.254429747635204428e-01 -1.000000000000000000e+00 -7.559105086437289955e-01 4.770409352647797530e-01 -1.197712575534277679e-01 4.144246057182534582e-01 -1.150998279621808784e-01 -2.707628504867904962e-01 4.470599774167818286e-01 7.072884698489341204e-01 -6.787042368574127682e-01 -7.719447289698344594e-01 8.347839662925435888e-01 4.452657077291071186e-01 3.532632897344667455e-01 4.752508453786326026e-01 2.825816974006498672e-01 -2.924410590983548275e-01 8.050860617571478084e-01 -1.165262494702952178e-01 -6.067454030311225655e-01 -7.763943169811400313e-01 -3.319677244807475169e-01 3.815704295892206055e-01 2.440323285619401261e-01 -7.238942350051964514e-01 -2.610614673047657597e-01 4.795589026868360971e-01
4 5335.90771484375 3.122761100218729435e-01 8.245045599829521343e-01 -7.243184204469319543e-01 8.943599988641555143e-01 4.271293212343487689e-01 -6.275927915575458815e-01 -1.644851438478345251e-01 -5.615519600850191750e-01 8.366581351985920012e-01 8.000970317323727876e-01 9.304004624950867886e-02 5.691506947701767682e-01 3.532070347659821419e-01 3.502642318375568387e-01 3.629627774822243857e-01 1.936098039645026692e-01 -7.602382386927004632e-01 7.823760864868258835e-01 -4.931421680881400427e-01 2.724699822280594042e-01 -9.589745383491758979e-01 -1.694711692544677017e-01 7.220538141326509063e-01 -3.736207294380198274e-01 2.843533171440342233e-01 -6.468893592749869192e-01 -2.009803219466712587e-01 -9.263953861142359969e-01 -3.833791411621225720e-01 3.709595296396221986e-01 -3.732789725779395162e-01 -3.583676632993963995e-01 7.198599848656932476e-01 -4.188584394679761846e-01 -7.194345820956666859e-01 7.642436820556124388e-01 5.445351309050086019e-01 7.937216041175985115e-01 -9.251055377840189387e-02 9.374002842297897153e-01 9.184721638982988878e-01 4.034693964793285570e-01 -9.643192299649085975e-01 2.155241195601220738e-01 2.895444969488614184e-01 -4.848511437900322463e-01 7.570630579589305853e-01 -5.710605341806984647e-01 -1.132085289669308992e-01 -6.352342724807964469e-01 -2.371739671216306355e-01 2.957679266609294366e-01 7.331307853451924927e-01 1.824659345722676740e-01 2.738441320768725262e-04 5.219113461159301526e-01 3.463394340852232745e-01 -4.575263322397393750e-02 -9.420897232531060261e-01 -4.072818703696690079e-03 6.379438073470884429e-01 -3.547894565458764582e-02 -1.370747759028052570e-01 -9.694800772840010961e-01 -5.174077224114621565e-01 6.462114510633658604e-01 6.499062062250064997e-01 6.790107035133912117e-01 5.517332623561708171e-01 -3.569883320011473238e-01 -3.830295951061521986e-01 9.252529906973028240e-02 -4.350633860850412482e-01 -1.000000000000000000e+00 -7.652827932796304466e-01 4.669988024550215666e-01 -1.097212196776562454e-01 4.243908459827288038e-01 -1.251472124999373214e-01 -2.807574467296951592e-01 4.571193601832670428e-01 6.979940139779481356e-01 -6.886850718779549130e-01 -7.622142204188329107e-01 8.248768175141050207e-01 4.537674730473220119e-01 3.432323784304101011e-01 4.852748397499275779e-01 2.748049816079343177e-01 -2.828715687699236980e-01 7.954248016961817935e-01 -1.071331525688188346e-01 -6.080478166735290291e-01 -7.849693438583644767e-01 -3.420120198215239604e-01 3.728299290422287804e-01 2.340779403085493371e-01 -7.287794708065356009e-01 -2.510584537684317219e-01 4.696214654356258844e-01
5 5034.5087890625 3.223498621643619000e-01 8.144650833051767513e-01 -7.149413702334161957e-01 8.842689576493913961e-01 4.171106503028902956e-01 -6.375555151479794791e-01 -1.543806152195448256e-01 -5.514596066367474236e-01 8.462446035375583708e-01 7.900003327329678804e-01 8.298004508483391994e-02 5.592755583425954580e-01 3.431255358823175339e-01 3.603114487372498509e-01 3.730344732644685912e-01 1.835910305875609883e-01 -7.501345510486956414e-01 7.722794545426463486e-01 -5.032366682349462828e-01 2.825748563770242860e-01 -9.690051637372021354e-01 -1.793306194159247635e-01 7.119589517013631408e-01 -3.637803471749554429e-01 2.743181059236505792e-01 -6.569477492516075934e-01 -1.912041543751266115e-01 -9.364233330185376403e-01 -3.739434213516963368e-01 3.617992512746062150e-01 -3.832710197909574568e-01 -3.482634671532658377e-01 7.100051941110769871e-01 -4.211237426308340748e-01 -7.122801797725994977e-01 7.549118214760621726e-01 5.546064057294490812e-01 7.841300079165363091e-01 -9.108011622752187897e-02 9.273298569088921361e-01 9.083927223062016054e-01 4.132526458277305803e-01 -9.697399650707807517e-01 2.255828103539343488e-01 2.986543758614295108e-01 -4.750722623445051696e-01 7.469610094426570868e-01 -5.611479483410692914e-01 -1.035308068481359811e-01 -6.450992370032178069e-01 -2.467014194116887715e-01 2.856807029373986673e-01 7.418900771877723344e-01 1.925509277782322393e-01 -9.821187799919472994e-03 5.120188610114289052e-01 3.551665001342030337e-01 -5.561936260267419385e-02 -9.521485276682724042e-01 -1.397878749643322038e-02 6.279188527822190391e-01 -4.545332940365542918e-02 -1.471773105694627048e-01 -9.795832638764607747e-01 -5.073041306936825201e-01 6.361245858990263180e-01 6.599951463760422854e-01 6.689226825777365715e-01 5.617970884626595218e-01 -3.469727782063460886e-01 -3.931273576759373167e-01 8.252899198725605068e-02 -4.446443884918171996e-01 -1.000000000000000000e+00 -7.738538834563319924e-01 4.569302936586276953e-01 -9.962604245933825986e-02 4.343945878133161909e-01 -1.352377284487693565e-01 -2.907940372388118089e-01 4.672125844181460597e-01 6.891223273330959742e-01 -6.986840825898632534e-01 -7.525914807908755666e-01 8.149933429555131781e-01 4.618963042103707561e-01 3.331883354780513784e-01 4.952722457930398559e-01 2.673820380084122039e-01 -2.731787238351621738e-01 7.856809836142664150e-01 -9.758800701248815379e-02 -6.133650944142161610e-01 -7.923892560029062171e-01 -3.520813491131060680e-01 3.649146948490229470e-01 2.242342984164737985e-01 -7.354945366061891310e-01 -2.410415709763165104e-01 4.597202575638907884e-01
6 4749.15478515625 3.324341140375570713e-01 8.044107930105295345e-01 -7.061079730535742005e-01 8.741999301063234640e-01 4.071812336016926714e-01 -6.469086108135535529e-01 -1.442680418268555975e-01 -5.413310033199039140e-01 8.558991310676324904e-01 7.798641037468834192e-01 7.286379389929753536e-02 5.492914208522037267e-01 3.330817695327634720e-01 3.703251454748373028e-01 3.831638281586298156e-01 1.737550301972101696e-01 -7.400400564898248490e-01 7.621637276917194725e-01 -5.132451877503414472e-01 2.926817161057182481e-01 -9.790809824844841636e-01 -1.887949392112948654e-01 7.018951004491649215e-01 -3.543476951410899911e-01 2.643247362325766847e-01 -6.669962681402599181e-01 -1.813076021849420183e-01 -9.464838082264028785e-01 -3.652680798573149090e-01 3.528022626279201379e-01 -3.931013959242801725e-01 -3.381666061037329474e-01 7.006301201640645626e-01 -4.171172669549829681e-01 -7.047086245641847047e-01 7.453699318234523474e-01 5.647337862197521208e-01 7.760993837876581924e-01 -8.668143081317780663e-02 9.173268899386868291e-01 8.983384757837153956e-01 4.231658863871297083e-01 -9.767265891663696742e-01 2.356939932820196759e-01 3.072775008930199725e-01 -4.651643172852653052e-01 7.368169545529781317e-01 -5.516022654116130575e-01 -9.675798973563054517e-02 -6.550444293775068427e-01 -2.557462668628391889e-01 2.756765336297495317e-01 7.476384841716843255e-01 2.021935772201897130e-01 -1.988858645980440265e-02 5.020457196466756589e-01 3.643625953027935793e-01 -6.521483962490481900e-02 -9.622053520916451497e-01 -2.366835510705467271e-02 6.178502890377932655e-01 -5.551116058673133402e-02 -1.573135879843210461e-01 -9.895763765225040753e-01 -4.972447581717456266e-01 6.260561124928902821e-01 6.698994341315316348e-01 6.587967521566822082e-01 5.719172688981382091e-01 -3.373677020423389017e-01 -4.032022655897413710e-01 7.260106260821008739e-02 -4.526997410976965064e-01 -1.000000000000000000e+00 -7.806454727723126652e-01 4.468038091006414358e-01 -8.958841073158319013e-02 4.442457557231171972e-01 -1.453702703287809150e-01 -3.008660478080862344e-01 4.773236704886836268e-01 6.811609190979632800e-01 -7.087595036624059208e-01 -7.428244141035300618e-01 8.054381763682796347e-01 4.703856009819566975e-01 3.230866501775819799e-01 5.053445264458609198e-01 2.592532655186856605e-01 -2.634471228427806011e-01 7.758155552932028964e-01 -8.784921900379827342e-02 -6.203110397367297413e-01 -7.984785037660631080e-01 -3.621482131938331683e-01 3.579931492466417176e-01 2.148830989236616418e-01 -7.432883160911167852e-01 -2.309618267043824780e-01 4.500487287402170633e-01
7 4500.94873046875 3.424734947891072689e-01 7.948382190730538532e-01 -6.969421905721422394e-01 8.643473521741444898e-01 3.976882886756691882e-01 -6.554237834515526107e-01 -1.342903658524865484e-01 -5.313487918045964875e-01 8.657340259780872405e-01 7.698480610077305109e-01 6.282045688945037121e-02 5.392609556516603231e-01 3.234340024732584862e-01 3.801970334492783543e-01 3.931883189248570609e-01 1.643897658708761700e-01 -7.300930051956768807e-01 7.522171932816004158e-01 -5.227948409079332670e-01 3.026084925074168375e-01 -9.889225093429927504e-01 -1.977117512288548706e-01 6.920190569133959357e-01 -3.451244724085460458e-01 2.547157829726913736e-01 -6.766034695823823775e-01 -1.713056494250204675e-01 -9.561279440591894385e-01 -3.579285236214948540e-01 3.443446112660970559e-01 -4.026633611663084089e-01 -3.282136418425587454e-01 6.920764298870245579e-01 -4.114215122928268631e-01 -6.968226571828861626e-01 7.358217194218834578e-01 5.748272339720490454e-01 7.708393972864711063e-01 -8.044344384993551422e-02 9.074865300273642355e-01 8.886497351875402018e-01 4.331836278586587152e-01 -9.846545433632996058e-01 2.458010290306802403e-01 3.148606948396497351e-01 -4.552552211113232161e-01 7.267747649325428938e-01 -5.420158557459688886e-01 -9.210040689009169057e-02 -6.650570401929722930e-01 -2.632302540005144742e-01 2.660323717199308824e-01 7.520029583825724728e-01 2.113447127914906964e-01 -2.975165480946384555e-02 4.920117899261546857e-01 3.738566037991972735e-01 -7.404750292255801725e-02 -9.721346225751985592e-01 -3.266902713452335405e-02 6.079709700405293571e-01 -6.559255702491273432e-02 -1.673970817609404804e-01 -9.992388696545588811e-01 -4.876226313540423796e-01 6.161436710082601742e-01 6.793658661665009646e-01 6.487620000783278496e-01 5.819541406666723926e-01 -3.284718513019657671e-01 -4.130870598324214438e-01 6.309126912548923549e-02 -4.591149485023398036e-01 -1.000000000000000000e+00 -7.867699235974674465e-01 4.366931328120366995e-01 -7.969705345871980207e-02 4.538040692493303663e-01 -1.554167635908334510e-01 -3.108135517250054658e-01 4.873675718800110079e-01 6.753732061104509299e-01 -7.188278187437042721e-01 -7.331406933360320455e-01 7.964764140666558134e-01 4.793633261525094280e-01 3.129935814735729238e-01 5.154442382737947081e-01 2.512010328434313156e-01 -2.538947213522710911e-01 7.659241393470173076e-01 -7.797618736523559413e-02 -6.282099226994930508e-01 -8.034475539425047774e-01 -3.721356112445586284e-01 3.543928249753949267e-01 2.062895182381057069e-01 -7.516815003730024092e-01 -2.208990632369514096e-01 4.407951719000953172e-01
8 4270.537109375 3.519928855509595333e-01 7.857792229693498776e-01 -6.891889129090007504e-01 8.550796830030495954e-01 3.888345365096363970e-01 -6.620707290584697535e-01 -1.247652446628326750e-01 -5.218005896475759187e-01 8.755583401327717841e-01 7.603791637619061738e-01 5.314778905826789135e-02 5.293158806240156888e-01 3.144999153532619385e-01 3.897086690880517956e-01 4.028618594052919555e-01 1.558753457415174015e-01 -7.206781740192766961e-01 7.426621300711726548e-01 -5.313449763267059645e-01 3.122146331731268099e-01 -9.970783591052536643e-01 -2.060949703591921089e-01 6.827089361967049186e-01 -3.364927792092691217e-01 2.458922801638820932e-01 -6.851022462864553297e-01 -1.614333218663241976e-01 -9.648870952720605132e-01 -3.525148986978186016e-01 3.370088585516717306e-01 -4.118647723241548597e-01 -3.187555712216643133e-01 6.846469293109158638e-01 -4.051203737427837570e-01 -6.904588797391195687e-01 7.270620811273058592e-01 5.845830195490482328e-01 7.682346431104802864e-01 -7.339253893892405678e-02 8.984160777246699148e-01 8.799999249702192827e-01 4.431752559765180788e-01 -9.930628290407326197e-01 2.556731842947002065e-01 3.216414593933456523e-01 -4.454399566180962111e-01 7.170325412748752569e-01 -5.329267229750729307e-01 -8.935456479462722257e-02 -6.749165909372674133e-01 -2.690165988751647141e-01 2.572876588009340715e-01 7.554746674719261534e-01 2.197130251726986394e-01 -3.905322691624246723e-02 4.821577731005979306e-01 3.834742593372197916e-01 -8.213394866391343641e-02 -9.814672058610667271e-01 -4.083647651945110368e-02 5.983665299698406326e-01 -7.540755422856082468e-02 -1.772418468280410053e-01 -1.000000000000000000e+00 -4.791561538481796667e-01 6.065231507219981388e-01 6.878533384771632342e-01 6.389090775567962677e-01 5.916238264029709537e-01 -3.209620148405707418e-01 -4.226034535982285956e-01 5.460691302016162929e-02 -4.639266847917515868e-01 -1.000000000000000000e+00 -7.922412509395604374e-01 4.268528958352939551e-01 -7.033865484240586774e-02 4.621380679815991765e-01 -1.650735607540219085e-01 -3.204352706234210313e-01 4.969770792768282153e-01 6.740479828647929494e-01 -7.285711162163004406e-01 -7.237670703895908719e-01 7.884194363028838026e-01 4.885021179744064579e-01 3.035136927587229749e-01 5.253322744503570174e-01 2.427221212498749114e-01 -2.455137858248868099e-01 7.560441646986608699e-01 -6.831253473657539210e-02 -6.366093328727899792e-01 -8.083579876074227233e-01 -3.815304981480234225e-01 3.532564039822605473e-01 1.985945870029413030e-01 -7.605433671526278250e-01 -2.113287272676225292e-01 4.321850602388399576e-01
9 4073.1884765625 3.609429848999814450e-01 7.775940384086337254e-01 -6.831612637522515019e-01 8.465946945296938253e-01 3.808085792381796786e-01 -6.668866586277737429e-01 -1.158092705310100889e-01 -5.128469112258997598e-01 8.852840663423526824e-01 7.517384199698491365e-01 4.400466658639889950e-02 5.194873280202940702e-01 3.064731357239718346e-01 3.987804746024470326e-01 4.120127435194977927e-01 1.483942857506941326e-01 -7.120197369609471139e-01 7.337089163794612290e-01 -5.386163015424032530e-01 3.213063736472316911e-01 -1.000000000000000000e+00 -2.136777992273726223e-01 6.741986539335451667e-01 -3.285083579933176789e-01 2.380771231005767152e-01 -6.919101132583951319e-01 -1.519024767681267374e-01 -9.726392041253708598e-01 -3.490677448594672327e-01 3.307655271938350072e-01 -4.205360104112725317e-01 -3.099565649905351439e-01 6.785049030317942265e-01 -3.985699685682899673e-01 -6.854132678621251973e-01 7.191067339394887625e-01 5.937744012940886495e-01 7.673005561376327055e-01 -6.579504360283849884e-02 8.902582246875510030e-01 8.725738400196529909e-01 4.531471801026663027e-01 -1.000000000000000000e+00 2.650895093125100743e-01 3.276493016472392661e-01 -4.359639813207047965e-01 7.077863074241577124e-01 -5.245218776032305463e-01 -8.831695968779662564e-02 -6.844343714423881675e-01 -2.731791381374892858e-01 2.496610493898434591e-01 7.595357898968266852e-01 2.273425105078996644e-01 -4.754938939784847385e-02 4.726896525778008229e-01 3.930429384836884310e-01 -8.910297402247113752e-02 -9.896928833960045857e-01 -4.804176025439854669e-02 5.895308007582718002e-01 -8.471788076754083185e-02 -1.867000189630960705e-01 -1.000000000000000000e+00 -4.719475713686729357e-01 5.973160035484146313e-01 6.951902446345972209e-01 6.293473581839277298e-01 6.006987322902170856e-01 -3.153494487047470152e-01 -4.315177631520306090e-01 4.768368731185579357e-02 -4.671002051146406764e-01 -1.000000000000000000e+00 -7.969252367800896408e-01 4.174328334199921553e-01 -6.157021741214330213e-02 4.691011067986472494e-01 -1.742000712251274841e-01 -3.295600413839572251e-01 5.059936666757745005e-01 6.764847311049360101e-01 -7.377868967501506337e-01 -7.148914470442158109e-01 7.815876278215183603e-01 4.976478714325487385e-01 2.951514954415399572e-01 5.348134325578761672e-01 2.340450232811177589e-01 -2.382126820355274788e-01 7.463318094872837261e-01 -5.896051567989757380e-02 -6.451751489697514774e-01 -8.130345214703711409e-01 -3.901786319847100337e-01 3.542340901229468209e-01 1.917665820429705903e-01 -7.698049929715360395e-01 -2.027270552515383351e-01 4.244119952306169008e-01
